,year,date,Average_temperature,Average_humidity,Average_dewpoint,Average_barometer,Average_windspeed,Average_gustspeed,Average_direction,Rainfall_for_month,Rainfall_for_year,Maximum_rain_per_minute,Maximum_temperature,Minimum_temperature,Minimum_pressure,Maximum_pressure,Maximum_windspeed,Maximum_gust_speed,Maximum_humidity,Minimum_humidity,Maximum_heat_index
0,2001,Apr 1,41.4°F,28%,5.3°F,30.1,7.5,10.7,240°,0.00,1.38,0.00,58.0°F,19.7°F,72%,8%,30.364,29.939,20.7,32.2,58.0°F
1,2001,Apr 2,46.4°F,25%,8.3°F,29.9,7.4,10.4,235°,0.00,1.38,0.00,63.8°F,27.0°F,55%,8%,29.982,29.850,24.2,33.4,63.8°F
2,2001,Apr 3,46.1°F,36%,13.8°F,30.0,4.8,6.8,233°,0.00,1.38,0.00,66.6°F,23.3°F,71%,6%,30.046,29.927,17.3,23.0,66.6°F
3,2001,Apr 4,45.9°F,44%,21.7°F,29.9,3.9,5.9,241°,0.00,1.38,0.00,66.2°F,25.3°F,75%,15%,30.010,29.778,17.3,24.2,66.2°F
4,2001,Apr 5,46.4°F,41%,16.4°F,29.6,4.4,6.6,219°,0.00,1.38,0.00,66.2°F,26.1°F,83%,10%,29.787,29.405,18.4,28.8,66.2°F
5,2001,Apr 6,37.9°F,48%,19.3°F,29.5,7.0,10.7,253°,0.00,1.38,0.00,54.1°F,28.8°F,68%,29%,29.765,29.305,21.9,32.2,54.1°F
6,2001,Apr 7,41.0°F,39%,17.4°F,29.8,10.7,16.3,241°,0.00,1.38,0.00,49.0°F,31.7°F,52%,27%,29.834,29.718,25.3,34.5,49.0°F
7,2001,Apr 8,47.6°F,23%,10.9°F,29.6,8.0,12.8,250°,0.00,1.38,0.00,58.2°F,34.3°F,38%,15%,29.733,29.463,21.9,32.2,58.2°F
8,2001,Average and,44.1°F,35%,14.1°F,29.790,6.7,10.1,240°,0.000,1.382,0.000,66.6°F,19.7°F,83%,6%,30.36,29.30,25.3,34.5,66.6°F
9,2001,Apr 1,41.4°F,28%,5.3°F,30.1,7.5,10.7,240°,0.00,1.38,0.00,58.0°F,19.7°F,72%,8%,30.364,29.939,20.7,32.2,58.0°F
10,2001,Apr 2,46.4°F,25%,8.3°F,29.9,7.4,10.4,235°,0.00,1.38,0.00,63.8°F,27.0°F,55%,8%,29.982,29.850,24.2,33.4,63.8°F
11,2001,Apr 3,46.1°F,36%,13.8°F,30.0,4.8,6.8,233°,0.00,1.38,0.00,66.6°F,23.3°F,71%,6%,30.046,29.927,17.3,23.0,66.6°F
12,2001,Apr 4,45.9°F,44%,21.7°F,29.9,3.9,5.9,241°,0.00,1.38,0.00,66.2°F,25.3°F,75%,15%,30.010,29.778,17.3,24.2,66.2°F
13,2001,Apr 5,46.4°F,41%,16.4°F,29.6,4.4,6.6,219°,0.00,1.38,0.00,66.2°F,26.1°F,83%,10%,29.787,29.405,18.4,28.8,66.2°F
14,2001,Apr 6,37.9°F,48%,19.3°F,29.5,7.0,10.7,253°,0.00,1.38,0.00,54.1°F,28.8°F,68%,29%,29.765,29.305,21.9,32.2,54.1°F
15,2001,Apr 7,41.0°F,39%,17.4°F,29.8,10.7,16.3,241°,0.00,1.38,0.00,49.0°F,31.7°F,52%,27%,29.834,29.718,25.3,34.5,49.0°F
16,2001,Apr 8,47.6°F,23%,10.9°F,29.6,8.0,12.8,250°,0.00,1.38,0.00,58.2°F,34.3°F,38%,15%,29.733,29.463,21.9,32.2,58.2°F
17,2001,Average and,44.1°F,35%,14.1°F,29.790,6.7,10.1,240°,0.000,1.382,0.000,66.6°F,19.7°F,83%,6%,30.36,29.30,25.3,34.5,66.6°F
18,2001,Apr 1,41.4°F,28%,5.3°F,30.1,7.5,10.7,240°,0.00,1.38,0.00,58.0°F,19.7°F,72%,8%,30.364,29.939,20.7,32.2,58.0°F
19,2001,Apr 2,46.4°F,25%,8.3°F,29.9,7.4,10.4,235°,0.00,1.38,0.00,63.8°F,27.0°F,55%,8%,29.982,29.850,24.2,33.4,63.8°F
20,2001,Apr 3,46.1°F,36%,13.8°F,30.0,4.8,6.8,233°,0.00,1.38,0.00,66.6°F,23.3°F,71%,6%,30.046,29.927,17.3,23.0,66.6°F
21,2001,Apr 4,45.9°F,44%,21.7°F,29.9,3.9,5.9,241°,0.00,1.38,0.00,66.2°F,25.3°F,75%,15%,30.010,29.778,17.3,24.2,66.2°F
22,2001,Apr 5,46.4°F,41%,16.4°F,29.6,4.4,6.6,219°,0.00,1.38,0.00,66.2°F,26.1°F,83%,10%,29.787,29.405,18.4,28.8,66.2°F
