,year,date,Average_humidity,Average_dewpoint,Average_barometer,Average_windspeed,Average_gustspeed,Average_direction,Rainfall_for_month,Rainfall_for_year,Maximum_rain_per_minute,Maximum_temperature,Minimum_temperature,Minimum_pressure,Maximum_pressure,Maximum_windspeed,Maximum_gust_speed,Maximum_humidity,Minimum_humidity,Maximum_heat_index
0,2001,Apr-01,28,5.3,30.1,7.5,10.7,240,0,1.38,0,58,19.7,72,8,30.364,29.939,20.7,32.2,58
1,2001,Apr-02,25,8.3,29.9,7.4,10.4,235,0,1.38,0,63.8,27,55,8,29.982,29.85,24.2,33.4,63.8
2,2001,Apr-03,36,13.8,30,4.8,6.8,233,0,1.38,0,66.6,23.3,71,6,30.046,29.927,17.3,23,66.6
3,2001,Apr-04,44,21.7,29.9,3.9,5.9,241,0,1.38,0,66.2,25.3,75,15,30.01,29.778,17.3,24.2,66.2
4,2001,Apr-05,41,16.4,29.6,4.4,6.6,219,0,1.38,0,66.2,26.1,83,10,29.787,29.405,18.4,28.8,66.2
5,2001,Apr-06,48,19.3,29.5,7,10.7,253,0,1.38,0,54.1,28.8,68,29,29.765,29.305,21.9,32.2,54.1
6,2001,Apr-07,39,17.4,29.8,10.7,16.3,241,0,1.38,0,49,31.7,52,27,29.834,29.718,25.3,34.5,49
7,2001,Apr-08,23,10.9,29.6,8,12.8,250,0,1.38,0,58.2,34.3,38,15,29.733,29.463,21.9,32.2,58.2
8,2001,Average and,35,14.1,29.79,6.7,10.1,240,0,1.382,0,66.6,19.7,83,6,30.36,29.3,25.3,34.5,66.6
9,2001,Apr-01,28,5.3,30.1,7.5,10.7,240,0,1.38,0,58,19.7,72,8,30.364,29.939,20.7,32.2,58
10,2001,Apr-02,25,8.3,29.9,7.4,10.4,235,0,1.38,0,63.8,27,55,8,29.982,29.85,24.2,33.4,63.8
11,2001,Apr-03,36,13.8,30,4.8,6.8,233,0,1.38,0,66.6,23.3,71,6,30.046,29.927,17.3,23,66.6
12,2001,Apr-04,44,21.7,29.9,3.9,5.9,241,0,1.38,0,66.2,25.3,75,15,30.01,29.778,17.3,24.2,66.2
13,2001,Apr-05,41,16.4,29.6,4.4,6.6,219,0,1.38,0,66.2,26.1,83,10,29.787,29.405,18.4,28.8,66.2
14,2001,Apr-06,48,19.3,29.5,7,10.7,253,0,1.38,0,54.1,28.8,68,29,29.765,29.305,21.9,32.2,54.1
15,2001,Apr-07,39,17.4,29.8,10.7,16.3,241,0,1.38,0,49,31.7,52,27,29.834,29.718,25.3,34.5,49
16,2001,Apr-08,23,10.9,29.6,8,12.8,250,0,1.38,0,58.2,34.3,38,15,29.733,29.463,21.9,32.2,58.2
17,2001,Average and,35,14.1,29.79,6.7,10.1,240,0,1.382,0,66.6,19.7,83,6,30.36,29.3,25.3,34.5,66.6
18,2001,Apr-01,28,5.3,30.1,7.5,10.7,240,0,1.38,0,58,19.7,72,8,30.364,29.939,20.7,32.2,58
19,2001,Apr-02,25,8.3,29.9,7.4,10.4,235,0,1.38,0,63.8,27,55,8,29.982,29.85,24.2,33.4,63.8
20,2001,Apr-03,36,13.8,30,4.8,6.8,233,0,1.38,0,66.6,23.3,71,6,30.046,29.927,17.3,23,66.6
21,2001,Apr-04,44,21.7,29.9,3.9,5.9,241,0,1.38,0,66.2,25.3,75,15,30.01,29.778,17.3,24.2,66.2
22,2001,Apr-05,41,16.4,29.6,4.4,6.6,219,0,1.38,0,66.2,26.1,83,10,29.787,29.405,18.4,28.8,66.2
23,2001,Apr-06,48,19.3,29.5,7,10.7,253,0,1.38,0,54.1,28.8,68,29,29.765,29.305,21.9,32.2,54.1
24,2001,Apr-07,39,17.4,29.8,10.7,16.3,241,0,1.38,0,49,31.7,52,27,29.834,29.718,25.3,34.5,49
25,2001,Apr-08,23,10.9,29.6,8,12.8,250,0,1.38,0,58.2,34.3,38,15,29.733,29.463,21.9,32.2,58.2
26,2001,Average and,35,14.1,29.79,6.7,10.1,240,0,1.382,0,66.6,19.7,83,6,30.36,29.3,25.3,34.5,66.6
27,2001,Apr-01,28,5.3,30.1,7.5,10.7,240,0,1.38,0,58,19.7,72,8,30.364,29.939,20.7,32.2,58
28,2001,Apr-02,25,8.3,29.9,7.4,10.4,235,0,1.38,0,63.8,27,55,8,29.982,29.85,24.2,33.4,63.8
29,2001,Apr-03,36,13.8,30,4.8,6.8,233,0,1.38,0,66.6,23.3,71,6,30.046,29.927,17.3,23,66.6
30,2001,Apr-04,44,21.7,29.9,3.9,5.9,241,0,1.38,0,66.2,25.3,75,15,30.01,29.778,17.3,24.2,66.2
31,2001,Apr-05,41,16.4,29.6,4.4,6.6,219,0,1.38,0,66.2,26.1,83,10,29.787,29.405,18.4,28.8,66.2
32,2001,Apr-06,48,19.3,29.5,7,10.7,253,0,1.38,0,54.1,28.8,68,29,29.765,29.305,21.9,32.2,54.1
33,2001,Apr-07,39,17.4,29.8,10.7,16.3,241,0,1.38,0,49,31.7,52,27,29.834,29.718,25.3,34.5,49
34,2001,Apr-08,23,10.9,29.6,8,12.8,250,0,1.38,0,58.2,34.3,38,15,29.733,29.463,21.9,32.2,58.2
35,2001,Average and,35,14.1,29.79,6.7,10.1,240,0,1.382,0,66.6,19.7,83,6,30.36,29.3,25.3,34.5,66.6
36,2001,Apr-01,28,5.3,30.1,7.5,10.7,240,0,1.38,0,58,19.7,72,8,30.364,29.939,20.7,32.2,58
37,2001,Apr-02,25,8.3,29.9,7.4,10.4,235,0,1.38,0,63.8,27,55,8,29.982,29.85,24.2,33.4,63.8
38,2001,Apr-03,36,13.8,30,4.8,6.8,233,0,1.38,0,66.6,23.3,71,6,30.046,29.927,17.3,23,66.6
39,2001,Apr-04,44,21.7,29.9,3.9,5.9,241,0,1.38,0,66.2,25.3,75,15,30.01,29.778,17.3,24.2,66.2
40,2001,Apr-05,41,16.4,29.6,4.4,6.6,219,0,1.38,0,66.2,26.1,83,10,29.787,29.405,18.4,28.8,66.2
41,2001,Apr-06,48,19.3,29.5,7,10.7,253,0,1.38,0,54.1,28.8,68,29,29.765,29.305,21.9,32.2,54.1
42,2001,Apr-07,39,17.4,29.8,10.7,16.3,241,0,1.38,0,49,31.7,52,27,29.834,29.718,25.3,34.5,49
43,2001,Apr-08,23,10.9,29.6,8,12.8,250,0,1.38,0,58.2,34.3,38,15,29.733,29.463,21.9,32.2,58.2
44,2001,Average and,35,14.1,29.79,6.7,10.1,240,0,1.382,0,66.6,19.7,83,6,30.36,29.3,25.3,34.5,66.6
45,2001,Apr-01,28,5.3,30.1,7.5,10.7,240,0,1.38,0,58,19.7,72,8,30.364,29.939,20.7,32.2,58
46,2001,Apr-02,25,8.3,29.9,7.4,10.4,235,0,1.38,0,63.8,27,55,8,29.982,29.85,24.2,33.4,63.8
47,2001,Apr-03,36,13.8,30,4.8,6.8,233,0,1.38,0,66.6,23.3,71,6,30.046,29.927,17.3,23,66.6
48,2001,Apr-04,44,21.7,29.9,3.9,5.9,241,0,1.38,0,66.2,25.3,75,15,30.01,29.778,17.3,24.2,66.2
49,2001,Apr-05,41,16.4,29.6,4.4,6.6,219,0,1.38,0,66.2,26.1,83,10,29.787,29.405,18.4,28.8,66.2
50,2001,Apr-06,48,19.3,29.5,7,10.7,253,0,1.38,0,54.1,28.8,68,29,29.765,29.305,21.9,32.2,54.1
51,2001,Apr-07,39,17.4,29.8,10.7,16.3,241,0,1.38,0,49,31.7,52,27,29.834,29.718,25.3,34.5,49
52,2001,Apr-08,23,10.9,29.6,8,12.8,250,0,1.38,0,58.2,34.3,38,15,29.733,29.463,21.9,32.2,58.2
53,2001,Average and,35,14.1,29.79,6.7,10.1,240,0,1.382,0,66.6,19.7,83,6,30.36,29.3,25.3,34.5,66.6
54,2001,Apr-01,28,5.3,30.1,7.5,10.7,240,0,1.38,0,58,19.7,72,8,30.364,29.939,20.7,32.2,58
55,2001,Apr-02,25,8.3,29.9,7.4,10.4,235,0,1.38,0,63.8,27,55,8,29.982,29.85,24.2,33.4,63.8
56,2001,Apr-03,36,13.8,30,4.8,6.8,233,0,1.38,0,66.6,23.3,71,6,30.046,29.927,17.3,23,66.6
57,2001,Apr-04,44,21.7,29.9,3.9,5.9,241,0,1.38,0,66.2,25.3,75,15,30.01,29.778,17.3,24.2,66.2
58,2001,Apr-05,41,16.4,29.6,4.4,6.6,219,0,1.38,0,66.2,26.1,83,10,29.787,29.405,18.4,28.8,66.2
59,2001,Apr-06,48,19.3,29.5,7,10.7,253,0,1.38,0,54.1,28.8,68,29,29.765,29.305,21.9,32.2,54.1
60,2001,Apr-07,39,17.4,29.8,10.7,16.3,241,0,1.38,0,49,31.7,52,27,29.834,29.718,25.3,34.5,49
61,2001,Apr-08,23,10.9,29.6,8,12.8,250,0,1.38,0,58.2,34.3,38,15,29.733,29.463,21.9,32.2,58.2
62,2001,Average and,35,14.1,29.79,6.7,10.1,240,0,1.382,0,66.6,19.7,83,6,30.36,29.3,25.3,34.5,66.6
63,2001,Apr-01,28,5.3,30.1,7.5,10.7,240,0,1.38,0,58,19.7,72,8,30.364,29.939,20.7,32.2,58
64,2001,Apr-02,25,8.3,29.9,7.4,10.4,235,0,1.38,0,63.8,27,55,8,29.982,29.85,24.2,33.4,63.8
65,2001,Apr-03,36,13.8,30,4.8,6.8,233,0,1.38,0,66.6,23.3,71,6,30.046,29.927,17.3,23,66.6
66,2001,Apr-04,44,21.7,29.9,3.9,5.9,241,0,1.38,0,66.2,25.3,75,15,30.01,29.778,17.3,24.2,66.2
